id,date,city_name,city_state,voting_intentions
P1,04/09/2022,Jatobá,PE,B
P1,04/09/2022,Brasília,DF,B
P1,04/09/2022,Sidrolândia,MS,A
P1,04/09/2022,Adrianópolis,PR,B
P1,04/09/2022,Osvaldo Cruz,SP,A
P1,04/09/2022,Assunção,PB,A
P1,04/09/2022,Cerqueira César,SP,B
P1,04/09/2022,Porto Walter,AC,B
P1,04/09/2022,Leopoldina,MG,B
P1,04/09/2022,Cambé,PR,A
P1,04/09/2022,Palmeirândia,MA,A
P1,04/09/2022,Breves,PA,B
P1,04/09/2022,Goiânia,GO,A
P1,04/09/2022,São Pedro do Turvo,SP,A
P1,04/09/2022,Piraí,RJ,A
P1,04/09/2022,Formosa do Rio Preto,BA,B
P1,04/09/2022,Aracaju,SE,B
P1,04/09/2022,Guarujá,SP,A
P1,04/09/2022,Resende,RJ,B
P1,04/09/2022,Franca,SP,A
P1,04/09/2022,Mossoró,RN,A
P1,04/09/2022,Tanque d'Arca,AL,B
P1,04/09/2022,Belo Horizonte,MG,A
P1,04/09/2022,Jaú,SP,A
P1,04/09/2022,Nova Olinda do Norte,AM,B
P1,04/09/2022,Iranduba,AM,A
P1,04/09/2022,Natividade,RJ,A
P1,04/09/2022,Itaocara,RJ,B
P1,04/09/2022,Apodi,RN,A
P1,04/09/2022,Cametá,PA,A
P1,04/09/2022,Capitão Andrade,MG,A
P1,04/09/2022,Ji-Paraná,RO,A
P1,04/09/2022,Iranduba,AM,B
P1,04/09/2022,Limoeiro de Anadia,AL,B
P1,04/09/2022,Macapá,AP,A
P1,04/09/2022,Jericó,PB,A
P1,04/09/2022,Porto Seguro,BA,A
P1,04/09/2022,Santana,AP,A
P1,04/09/2022,Alto Alegre,RR,B
P1,04/09/2022,Cotriguaçu,MT,B
P1,04/09/2022,Rolim de Moura,RO,A
P1,04/09/2022,Parnamirim,RN,A
P1,04/09/2022,Cachoeiro de Itapemirim,ES,B
P1,04/09/2022,São Bento do Sapucaí,SP,B
P1,04/09/2022,Rio Verde,GO,A
P1,04/09/2022,Nova Prata,RS,B
P1,04/09/2022,Limoeiro de Anadia,AL,A
P1,04/09/2022,Buritis,RO,A
P1,04/09/2022,Icapuí,CE,A
P1,04/09/2022,Brasília,DF,A
P1,04/09/2022,Acrelândia,AC,B
P1,04/09/2022,Muniz Ferreira,BA,A
P1,04/09/2022,Rio de Janeiro,RJ,A
P1,04/09/2022,Paripiranga,BA,A
P1,04/09/2022,Magé,RJ,B
P1,04/09/2022,Antas,BA,A
P1,04/09/2022,Marilândia,ES,B
P1,04/09/2022,Rio Branco,AC,B
P1,04/09/2022,Guaramirim,SC,B
P1,04/09/2022,Carnaubais,RN,A
P1,04/09/2022,Santópolis do Aguapeí,SP,A
P1,04/09/2022,Maceió,AL,B
P1,04/09/2022,Paquetá,PI,B
P1,04/09/2022,Zabelê,PB,A
P1,04/09/2022,Salinas da Margarida,BA,A
P1,04/09/2022,Rio Grande,RS,A
P1,04/09/2022,Capitão Poço,PA,B
P1,04/09/2022,Bonito,PA,A
P1,04/09/2022,Manaus,AM,B
P1,04/09/2022,Florínea,SP,B
P1,04/09/2022,Cruzmaltina,PR,A
P1,04/09/2022,Gramado Xavier,RS,A
P1,04/09/2022,União dos Palmares,AL,A
P1,04/09/2022,Itaquitinga,PE,A
P1,04/09/2022,Cambará,PR,A
P1,04/09/2022,Currais Novos,RN,B
P1,04/09/2022,Campo Grande,MS,A
P1,04/09/2022,Cruzmaltina,PR,B
P1,04/09/2022,Grão Mogol,MG,A
P1,04/09/2022,Tanque Novo,BA,A
P1,04/09/2022,Mossoró,RN,B
P1,04/09/2022,Rio Branco,AC,A
P1,04/09/2022,Monte das Gameleiras,RN,A
P1,04/09/2022,Pereiras,SP,A
P1,04/09/2022,Aurelino Leal,BA,B
P1,04/09/2022,Combinado,TO,B
P1,04/09/2022,Bela Cruz,CE,B
P1,04/09/2022,Riversul,SP,A
P1,04/09/2022,São Mateus,ES,B
P1,04/09/2022,Alvarães,AM,A
P1,04/09/2022,Pauini,AM,B
P1,04/09/2022,Glória do Goitá,PE,B
P1,04/09/2022,São Paulo,SP,A
P1,04/09/2022,Araucária,PR,A
P1,04/09/2022,Cabrobó,PE,B
P1,04/09/2022,Igarapé Grande,MA,A
P1,04/09/2022,Ipanema,MG,A
P1,04/09/2022,Franco da Rocha,SP,A
P1,04/09/2022,São Cristóvão,SE,B
P1,04/09/2022,Vila Propício,GO,B
P1,04/09/2022,Mirinzal,MA,A
P1,04/09/2022,Tefé,AM,B
P1,04/09/2022,Concórdia do Pará,PA,B
P1,04/09/2022,Pacajus,CE,A
P1,04/09/2022,Vilhena,RO,B
P1,04/09/2022,Orleans,SC,B
P1,04/09/2022,São Caetano do Sul,SP,A
P1,04/09/2022,Naviraí,MS,B
P1,04/09/2022,Conceição da Feira,BA,A
P1,04/09/2022,Caicó,RN,B
P1,04/09/2022,Pracuúba,AP,A
P1,04/09/2022,Ponta Grossa,PR,B
P1,04/09/2022,Crixás do Tocantins,TO,B
P1,04/09/2022,Fortaleza,CE,A
P1,04/09/2022,Mariana,MG,A
P1,04/09/2022,Parnaguá,PI,B
P1,04/09/2022,Boa Vista,RR,B
P1,04/09/2022,Santo Antônio do Içá,AM,B
P1,04/09/2022,Teresina,PI,B
P1,04/09/2022,Prata do Piauí,PI,A
P1,04/09/2022,Ouro Branco,MG,A
P1,04/09/2022,Manaquiri,AM,A
P1,04/09/2022,Itapecuru Mirim,MA,A
P1,04/09/2022,Campina do Monte Alegre,SP,B
P1,04/09/2022,Amaraji,PE,A
P1,04/09/2022,Rio das Ostras,RJ,B
P1,04/09/2022,Ribeira do Amparo,BA,A
P1,04/09/2022,Pontalina,GO,A
P1,04/09/2022,Tonantins,AM,A
P1,04/09/2022,São Luís do Quitunde,AL,A
P1,04/09/2022,Ariquemes,RO,A
P1,04/09/2022,Cidade Ocidental,GO,A
P1,04/09/2022,Guabiju,RS,A
P1,04/09/2022,Araraquara,SP,A
P1,04/09/2022,Santana,AP,B
P1,04/09/2022,Alta Floresta,MT,A
P1,04/09/2022,Carmópolis de Minas,MG,A
P1,04/09/2022,Oeiras,PI,B
P1,04/09/2022,Áurea,RS,A
P1,04/09/2022,Vargem Grande,MA,A
P1,04/09/2022,Barras,PI,A
P1,04/09/2022,Acorizal,MT,A
P1,04/09/2022,Pedra Branca do Amapari,AP,A
P1,04/09/2022,São José das Palmeiras,PR,B
P1,04/09/2022,Analândia,SP,B
P1,04/09/2022,Guarulhos,SP,A
P1,04/09/2022,Linhares,ES,A
P1,04/09/2022,Anagé,BA,A
P1,04/09/2022,Rio das Ostras,RJ,A
P1,04/09/2022,Mundo Novo,MS,A
P1,04/09/2022,Ouricuri,PE,A
P1,04/09/2022,Mariápolis,SP,B
P1,04/09/2022,Garanhuns,PE,A
P1,04/09/2022,Sapiranga,RS,B
P1,04/09/2022,Guaraí,TO,A
P1,04/09/2022,Porto Velho,RO,B
P1,04/09/2022,Iguaba Grande,RJ,A
P1,04/09/2022,Guapé,MG,A
P1,04/09/2022,Meruoca,CE,A
P1,04/09/2022,Jaguaré,ES,A
P1,04/09/2022,Joaçaba,SC,B
P1,04/09/2022,Ribeirão Pires,SP,B
P1,04/09/2022,Aparecida do Taboado,MS,A
P1,04/09/2022,Reriutaba,CE,B
P1,04/09/2022,Uruguaiana,RS,A
P1,04/09/2022,Guarulhos,SP,B
